algorithm,pop_condition,n_players,n_rounds,n_cats,opponent_type,society_pop_sum,agent_final_pop,agent_percentile,agent_won,initial_class
EEE,equal,20,10,0,cabsnocat,3411.1507848265373,102.71239565325193,0.05,0,equal
EEE,equal,20,10,0,cabsnocat,3457.6474131923974,70.8061691366044,0.05,0,equal
EEE,equal,20,10,0,cabsnocat,3374.539417992134,105.59968757399379,0.05,0,equal
EEE,equal,20,10,0,cabsnocat,3351.4026953412435,95.3704346838558,0.05,0,equal
EEE,equal,20,10,0,cabsnocat,3441.2436864769115,96.70647024568348,0.05,0,equal
DQN,equal,10,10,2,randoms,436.1998612600708,188.25519672085903,1.0,1,equal
DQN,equal,10,10,2,randoms,418.57990203225677,171.92667887461755,1.0,1,equal
DQN,equal,10,10,2,randoms,438.04071949099057,176.41964252705264,1.0,1,equal
DQN,equal,10,10,2,randoms,433.6210386317217,188.4020973073124,1.0,1,equal
DQN,equal,10,10,2,randoms,448.870641173468,220.61381486233367,1.0,1,equal
EXP4,equal,20,30,0,randoms,298.70657331830955,208.3938144863726,1.0,1,equal
EXP4,equal,20,30,0,randoms,366.4153441631551,253.74688893925185,1.0,1,equal
EXP4,equal,20,30,0,randoms,356.5521480137669,321.00799491183267,1.0,1,equal
EXP4,equal,20,30,0,randoms,377.77768240931863,315.63988372280915,1.0,1,equal
EXP4,equal,20,30,0,randoms,267.02267929365775,208.696502313306,1.0,1,equal
RAlegAATr,equal,20,30,1,cabstwocats,1421.390734674492,75.14258746826113,0.65,0,equal
EXP4,equal,20,20,0,randoms,469.124338917365,259.25647798575875,1.0,1,equal
EXP4,equal,20,20,0,randoms,601.5819417694573,257.0394511613978,1.0,1,equal
EXP4,equal,20,20,0,randoms,554.4652774386134,309.7507049176032,1.0,1,equal
EXP4,equal,20,20,0,randoms,477.65584881970324,178.04056037016338,1.0,1,equal
EXP4,equal,20,20,0,randoms,522.7985291003914,251.89730872916348,1.0,1,equal
EEE,equal,5,10,0,cabsrandomparams,517.6830670418974,67.81917393108981,0.2,0,equal
EEE,equal,5,10,0,cabsrandomparams,547.5787673574541,138.29660562333282,1.0,1,equal
EEE,equal,5,10,0,cabsrandomparams,480.83990070357635,68.5399554323054,0.2,0,equal
EEE,equal,5,10,0,cabsrandomparams,543.1747553706444,131.7333364209242,1.0,1,equal
EEE,equal,5,10,0,cabsrandomparams,500.666237151289,108.39513887020878,0.8,0,equal
RAlegAATr,equal,20,20,1,cabstwocats,1448.6093975186545,0.0,0.05,0,equal
DQN,equal,20,10,2,cabsrandomparams,2174.034970004902,121.19993334971099,0.8,0,equal
DQN,equal,20,10,2,cabsrandomparams,1971.4795843782138,98.505963405368,0.35,0,equal
DQN,equal,20,10,2,cabsrandomparams,2183.890344243417,109.54623923718057,0.7,0,equal
DQN,equal,20,10,2,cabsrandomparams,2035.847086008623,92.25933228937397,0.35,0,equal
DQN,equal,20,10,2,cabsrandomparams,1880.180197092516,108.1563883056215,0.65,0,equal
EXP4,equal,10,30,1,mixture,755.815241640137,0.8466793734260801,0.2,0,equal
EXP4,equal,10,30,1,mixture,667.9395394829752,80.06276792572427,0.5,0,equal
EXP4,equal,10,30,1,mixture,1546.9446591307562,0.7407035522565494,0.3,0,equal
EXP4,equal,10,30,1,mixture,995.8835437183573,195.65204507904286,1.0,1,equal
EXP4,equal,10,30,1,mixture,1427.5392329205185,394.3946795566733,1.0,1,equal
EEE,equal,10,10,0,selfplay,1448.8793168410093,103.34841549176963,0.1,0,equal
EEE,equal,10,10,0,selfplay,947.2081709870023,112.31107485558972,0.7,0,equal
EEE,equal,10,10,0,selfplay,726.9428033656068,49.751777625755444,0.4,0,equal
EEE,equal,10,10,0,selfplay,657.1344524175905,96.2859691358419,0.7,0,equal
EEE,equal,10,10,0,selfplay,1427.727928631121,162.1702224867061,0.9,0,equal
EEE,equal,15,20,2,cabsonecat,1650.1623241755178,24.43920330649645,0.3333333333333333,0,equal
EEE,equal,15,20,2,cabsonecat,997.3760739206781,135.540529854345,0.8,0,equal
EEE,equal,15,20,2,cabsonecat,625.2363114248818,1.4182001052850723,0.7333333333333333,0,equal
EEE,equal,15,20,2,cabsonecat,1014.0614000460135,215.0999634251406,0.8666666666666667,0,equal
EEE,equal,15,20,2,cabsonecat,1229.225075851201,102.76507065656223,0.7333333333333333,0,equal
R-UCB,equal,10,40,0,cabsonecat,4413.401910536394,0.09075033804274939,0.2,0,equal
R-UCB,equal,10,40,0,cabsonecat,6138.444252526863,304.0298231748871,0.2,0,equal
R-UCB,equal,10,40,0,cabsonecat,4256.947180088796,0.025945827740120005,0.1,0,equal
R-UCB,equal,10,40,0,cabsonecat,2785.2161873576124,2.458548847035233,0.2,0,equal
R-UCB,equal,10,40,0,cabsonecat,2709.931529254765,0.11334654391165769,0.2,0,equal
RAlegAATr,equal,20,10,2,mixture,1810.8548767682762,0.0,0.05,0,equal
MADQN,equal,5,20,2,banditsociety,417.27678131315434,48.75768409696858,0.2,0,equal
MADQN,equal,5,20,2,banditsociety,428.02152004779003,61.73323135084932,0.2,0,equal
MADQN,equal,5,20,2,banditsociety,174.88671712389464,0.0,0.4,0,equal
MADQN,equal,5,20,2,banditsociety,169.15874312187748,0.0,0.2,0,equal
MADQN,equal,5,20,2,banditsociety,453.9686758143154,15.84171042159468,0.2,0,equal
EXP4,equal,10,20,1,mixture,644.6670991772392,1.950339417158983,0.3,0,equal
EXP4,equal,10,20,1,mixture,594.304161151197,0.5809629550213802,0.3,0,equal
EXP4,equal,10,20,1,mixture,877.8362216574096,156.16474130114764,1.0,1,equal
EXP4,equal,10,20,1,mixture,711.9300350607223,86.92538894463719,0.6,0,equal
EXP4,equal,10,20,1,mixture,1017.3480815482014,12.215394091036625,0.2,0,equal
EXP4,equal,15,10,2,cabstwocats,1339.3938263743075,14.791971685932003,0.06666666666666667,0,equal
EXP4,equal,15,10,2,cabstwocats,1296.641538699413,0.0,0.06666666666666667,0,equal
EXP4,equal,15,10,2,cabstwocats,1361.28816634531,18.307159700845432,0.06666666666666667,0,equal
EXP4,equal,15,10,2,cabstwocats,1144.1475311720149,3.552713678800501e-15,0.2,0,equal
EXP4,equal,15,10,2,cabstwocats,1305.992521413727,1.7763568394002505e-15,0.06666666666666667,0,equal
MADQN,equal,5,30,2,banditsociety,178.76610067162628,1.339563507142966,0.6,0,equal
MADQN,equal,5,30,2,banditsociety,185.77180420606012,4.470530832250636,0.6,0,equal
MADQN,equal,5,30,2,banditsociety,179.26727509746445,1.448545014648075,0.6,0,equal
MADQN,equal,5,30,2,banditsociety,374.94849295729654,1.2207143259556212,0.2,0,equal
MADQN,equal,5,30,2,banditsociety,151.50348653431053,4.996003610813204e-16,0.4,0,equal
AleqgAATr,equal,5,40,2,banditsociety,172.08638782181123,1.352302661622036,0.6,0,equal
AleqgAATr,equal,5,40,2,banditsociety,357.03763802763854,0.4439079556969261,0.2,0,equal
AleqgAATr,equal,5,40,2,banditsociety,235.19540076961226,1.0663417938155864,0.4,0,equal
AleqgAATr,equal,5,40,2,banditsociety,166.37607180485614,0.6624451555807721,0.6,0,equal
AleqgAATr,equal,5,40,2,banditsociety,160.83892996655499,0.8663742230079295,0.6,0,equal
EEE,equal,15,30,2,cabsonecat,2279.444281412916,335.4598629035092,0.9333333333333333,0,equal
EEE,equal,15,30,2,cabsonecat,1989.702084359694,0.22464137442883847,0.2,0,equal
EEE,equal,15,30,2,cabsonecat,4131.357487923372,27.48300365279175,0.2,0,equal
EEE,equal,15,30,2,cabsonecat,2321.5566049932295,33.97810724383383,0.7333333333333333,0,equal
EEE,equal,15,30,2,cabsonecat,2404.307424312263,224.14293238835268,0.8,0,equal
UCB,equal,10,10,1,cabsonecat,1253.687511759873,147.37060942429295,0.9,0,equal
UCB,equal,10,10,1,cabsonecat,1126.5738835438112,137.95684998392682,1.0,1,equal
UCB,equal,10,10,1,cabsonecat,1330.7867433480735,110.32620208981835,0.3,0,equal
UCB,equal,10,10,1,cabsonecat,1376.2726169507303,153.58165541847126,0.6,0,equal
UCB,equal,10,10,1,cabsonecat,1330.1299319228178,140.10385864434613,0.7,0,equal
DQN,equal,5,30,2,cabstwocats,369.8501866941406,73.97003733882812,1.0,1,equal
DQN,equal,5,30,2,cabstwocats,369.8501866941406,73.97003733882812,1.0,1,equal
DQN,equal,5,30,2,cabstwocats,369.8501866941406,73.97003733882812,1.0,1,equal
DQN,equal,5,30,2,cabstwocats,369.8501866941406,73.97003733882812,1.0,1,equal
DQN,equal,5,30,2,cabstwocats,369.8501866941406,73.97003733882812,1.0,1,equal
UCB,equal,20,20,2,cabstwocats,1590.8878737436025,1.3322676295501878e-15,0.05,0,equal
UCB,equal,20,20,2,cabstwocats,1641.266311783551,59.39017719561361,0.1,0,equal
UCB,equal,20,20,2,cabstwocats,1593.2409636683979,54.32810912888391,0.1,0,equal
UCB,equal,20,20,2,cabstwocats,1586.5294247654547,5.10702591327572e-15,0.05,0,equal
UCB,equal,20,20,2,cabstwocats,1586.5294247654547,5.10702591327572e-15,0.05,0,equal
DQN,equal,20,10,0,selfplay,2483.932994888828,30.57865734592353,0.05,0,equal
DQN,equal,20,10,0,selfplay,2483.932994888828,30.57865734592353,0.05,0,equal
DQN,equal,20,10,0,selfplay,2483.932994888828,30.57865734592353,0.05,0,equal
DQN,equal,20,10,0,selfplay,2483.932994888828,30.57865734592353,0.05,0,equal
DQN,equal,20,10,0,selfplay,2483.932994888828,30.57865734592353,0.05,0,equal
EXP4,equal,5,20,0,selfplay,476.9691550836811,98.71865040208228,0.6,0,equal
EXP4,equal,5,20,0,selfplay,473.9481296377232,0.5000251958012503,0.2,0,equal
EXP4,equal,5,20,0,selfplay,346.25765663759233,30.08487121590346,0.6,0,equal
EXP4,equal,5,20,0,selfplay,608.5352624546879,3.5657834606842695,0.2,0,equal
EXP4,equal,5,20,0,selfplay,365.9678842868514,0.5416367897161867,0.2,0,equal
UCB,equal,5,30,2,cabsonecat,252.34900462470512,1.5943911984709405,0.6,0,equal
UCB,equal,5,30,2,cabsonecat,217.51819620501604,0.09240368113195088,0.4,0,equal
UCB,equal,5,30,2,cabsonecat,193.9615496012459,1.1102230246251565e-16,0.4,0,equal
UCB,equal,5,30,2,cabsonecat,227.87979256411575,0.7736268269950874,0.2,0,equal
UCB,equal,5,30,2,cabsonecat,182.54671670571827,1.0824674490095276e-15,0.4,0,equal
UCB,equal,20,30,2,cabstwocats,1159.6257713708296,0.004534612561092666,0.1,0,equal
UCB,equal,20,30,2,cabstwocats,1426.2218088704578,59.17292278181369,0.1,0,equal
UCB,equal,20,30,2,cabstwocats,1434.8287732677218,4.427014310692812e-15,0.05,0,equal
UCB,equal,20,30,2,cabstwocats,1372.7538214705557,0.0,0.05,0,equal
UCB,equal,20,30,2,cabstwocats,1309.7107776844705,1.4123705792851715,0.15,0,equal
SW-UCB,equal,5,40,1,cabsrandomparams,151.66260906205343,2.8119867545584043e-15,0.4,0,equal
SW-UCB,equal,5,40,1,cabsrandomparams,338.59453161503455,93.5722467873912,1.0,1,equal
SW-UCB,equal,5,40,1,cabsrandomparams,486.34040988125497,197.75210488274064,1.0,1,equal
SW-UCB,equal,5,40,1,cabsrandomparams,250.88838629354063,1.5862173484036326,0.4,0,equal
SW-UCB,equal,5,40,1,cabsrandomparams,265.0152388639737,0.06357281306395911,0.2,0,equal
EXP4,equal,5,30,0,selfplay,409.3145002667054,0.03734358460725434,0.2,0,equal
EXP4,equal,5,30,0,selfplay,159.68506658631,153.23205803945697,1.0,1,equal
EXP4,equal,5,30,0,selfplay,309.71971302632255,118.54179902586927,0.8,0,equal
EXP4,equal,5,30,0,selfplay,255.17400028010735,169.6707054242301,1.0,1,equal
EXP4,equal,5,30,0,selfplay,356.50930141203116,153.75100466215156,1.0,1,equal
DQN,equal,5,20,2,cabstwocats,408.9534687986157,81.79069375972314,1.0,1,equal
DQN,equal,5,20,2,cabstwocats,408.9534687986157,81.79069375972314,1.0,1,equal
DQN,equal,5,20,2,cabstwocats,408.9534687986157,81.79069375972314,1.0,1,equal
DQN,equal,5,20,2,cabstwocats,408.9534687986157,81.79069375972314,1.0,1,equal
DQN,equal,5,20,2,cabstwocats,408.9534687986157,81.79069375972314,1.0,1,equal
R-UCB,equal,10,10,0,cabstwocats,916.1134202294719,51.16927022709036,0.1,0,equal
R-UCB,equal,10,10,0,cabstwocats,915.7904100054377,51.17451887420737,0.1,0,equal
R-UCB,equal,10,10,0,cabstwocats,918.0330085213333,58.211723649841744,0.1,0,equal
R-UCB,equal,10,10,0,cabstwocats,915.7904100054377,51.17451887420737,0.1,0,equal
R-UCB,equal,10,10,0,cabstwocats,916.1408457365766,52.47613730415163,0.1,0,equal
UCB,equal,5,20,2,cabsonecat,224.20836466427332,6.661338147750939e-16,0.2,0,equal
UCB,equal,5,20,2,cabsonecat,251.1971328243633,4.440892098500626e-16,0.2,0,equal
UCB,equal,5,20,2,cabsonecat,447.38884948325045,116.42333259178292,1.0,1,equal
UCB,equal,5,20,2,cabsonecat,149.4138082679651,1.9984014443252818e-15,0.4,0,equal
UCB,equal,5,20,2,cabsonecat,252.68872602367327,0.48750115573135133,0.6,0,equal
R-UCB,equal,20,40,0,banditsociety,1242.1059778618182,1.2000791208813135,0.2,0,equal
R-UCB,equal,20,40,0,banditsociety,1332.8582763465236,1.6330797374509118,0.25,0,equal
R-UCB,equal,20,40,0,banditsociety,1472.552252745354,7.8760610466177114,0.25,0,equal
R-UCB,equal,20,40,0,banditsociety,1399.6268075951148,0.0,0.05,0,equal
R-UCB,equal,20,40,0,banditsociety,1784.963045002817,0.05676806745634625,0.05,0,equal
EXP4,equal,5,40,2,randoms,192.61669928252806,6.730050849418119,0.6,0,equal
EXP4,equal,5,40,2,randoms,181.39563434022037,0.2731300272687593,0.6,0,equal
EXP4,equal,5,40,2,randoms,185.38562221003826,0.16881886428259418,0.6,0,equal
EXP4,equal,5,40,2,randoms,152.00419146991356,1.1259763176875386,0.6,0,equal
EXP4,equal,5,40,2,randoms,156.5835870463319,0.004132509684782912,0.6,0,equal
EEE,equal,15,10,0,banditsociety,1270.209645122765,3.1192085952444017,0.06666666666666667,0,equal
EEE,equal,15,10,0,banditsociety,1608.007547736598,71.41573725499278,0.26666666666666666,0,equal
EEE,equal,15,10,0,banditsociety,1341.7738060820682,0.8999612767205871,0.06666666666666667,0,equal
EEE,equal,15,10,0,banditsociety,1654.0257871248064,230.86390837348526,1.0,1,equal
EEE,equal,15,10,0,banditsociety,1568.9246035965825,20.784214165912736,0.06666666666666667,0,equal
DQN,equal,20,30,0,banditsociety,1876.9557825961049,6.099995866486338,0.15,0,equal
DQN,equal,20,30,0,banditsociety,1834.3210248364703,22.026727441973136,0.2,0,equal
DQN,equal,20,30,0,banditsociety,1715.169728881185,28.65587982983298,0.2,0,equal
DQN,equal,20,30,0,banditsociety,1895.2617822947445,12.333464226518846,0.1,0,equal
