round,alpha,beta,give,keep,steal,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p0-T-p0,p0-T-p1,p0-T-p2,p0-T-p3,p0-T-p4,p0-T-p5,p0-T-p6,p0-T-p7,p0-T-p8,p0-T-p9,p1-T-p0,p1-T-p1,p1-T-p2,p1-T-p3,p1-T-p4,p1-T-p5,p1-T-p6,p1-T-p7,p1-T-p8,p1-T-p9,p2-T-p0,p2-T-p1,p2-T-p2,p2-T-p3,p2-T-p4,p2-T-p5,p2-T-p6,p2-T-p7,p2-T-p8,p2-T-p9,p3-T-p0,p3-T-p1,p3-T-p2,p3-T-p3,p3-T-p4,p3-T-p5,p3-T-p6,p3-T-p7,p3-T-p8,p3-T-p9,p4-T-p0,p4-T-p1,p4-T-p2,p4-T-p3,p4-T-p4,p4-T-p5,p4-T-p6,p4-T-p7,p4-T-p8,p4-T-p9,p5-T-p0,p5-T-p1,p5-T-p2,p5-T-p3,p5-T-p4,p5-T-p5,p5-T-p6,p5-T-p7,p5-T-p8,p5-T-p9,p6-T-p0,p6-T-p1,p6-T-p2,p6-T-p3,p6-T-p4,p6-T-p5,p6-T-p6,p6-T-p7,p6-T-p8,p6-T-p9,p7-T-p0,p7-T-p1,p7-T-p2,p7-T-p3,p7-T-p4,p7-T-p5,p7-T-p6,p7-T-p7,p7-T-p8,p7-T-p9,p8-T-p0,p8-T-p1,p8-T-p2,p8-T-p3,p8-T-p4,p8-T-p5,p8-T-p6,p8-T-p7,p8-T-p8,p8-T-p9,p9-T-p0,p9-T-p1,p9-T-p2,p9-T-p3,p9-T-p4,p9-T-p5,p9-T-p6,p9-T-p7,p9-T-p8,p9-T-p9,p0-I-p0,p0-I-p1,p0-I-p2,p0-I-p3,p0-I-p4,p0-I-p5,p0-I-p6,p0-I-p7,p0-I-p8,p0-I-p9,p1-I-p0,p1-I-p1,p1-I-p2,p1-I-p3,p1-I-p4,p1-I-p5,p1-I-p6,p1-I-p7,p1-I-p8,p1-I-p9,p2-I-p0,p2-I-p1,p2-I-p2,p2-I-p3,p2-I-p4,p2-I-p5,p2-I-p6,p2-I-p7,p2-I-p8,p2-I-p9,p3-I-p0,p3-I-p1,p3-I-p2,p3-I-p3,p3-I-p4,p3-I-p5,p3-I-p6,p3-I-p7,p3-I-p8,p3-I-p9,p4-I-p0,p4-I-p1,p4-I-p2,p4-I-p3,p4-I-p4,p4-I-p5,p4-I-p6,p4-I-p7,p4-I-p8,p4-I-p9,p5-I-p0,p5-I-p1,p5-I-p2,p5-I-p3,p5-I-p4,p5-I-p5,p5-I-p6,p5-I-p7,p5-I-p8,p5-I-p9,p6-I-p0,p6-I-p1,p6-I-p2,p6-I-p3,p6-I-p4,p6-I-p5,p6-I-p6,p6-I-p7,p6-I-p8,p6-I-p9,p7-I-p0,p7-I-p1,p7-I-p2,p7-I-p3,p7-I-p4,p7-I-p5,p7-I-p6,p7-I-p7,p7-I-p8,p7-I-p9,p8-I-p0,p8-I-p1,p8-I-p2,p8-I-p3,p8-I-p4,p8-I-p5,p8-I-p6,p8-I-p7,p8-I-p8,p8-I-p9,p9-I-p0,p9-I-p1,p9-I-p2,p9-I-p3,p9-I-p4,p9-I-p5,p9-I-p6,p9-I-p7,p9-I-p8,p9-I-p9
0,0.2,0.5,1.3,0.95,1.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0.2,0.5,1.3,0.95,1.6,86.75,116.45,106.85,104.25,105.45,101.75,94.9,98.85,99.15,121.1,0.15,0.1,0.1,0.15,0.2,0.1,0.15,0.0,0.05,0.0,0.05,0.55,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.15,0.25,0.0,0.0,0.15,0.0,0.05,0.15,0.25,0.05,0.1,0.05,0.25,0.0,0.15,0.05,0.15,0.2,0.0,0.05,0.25,0.1,0.0,0.45,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.05,0.0,0.0,0.0,0.35,0.0,0.15,0.0,0.15,0.15,0.2,0.1,0.05,0.15,0.05,0.0,0.05,0.0,0.0,0.1,0.15,0.0,0.65,0.05,0.0,0.0,0.2,0.0,0.35,0.2,0.0,0.1,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8499999999999996,2.6,2.6,3.9000000000000004,5.2,2.6,3.9000000000000004,0.0,1.3,0.0,1.3,10.450000000000001,0.0,2.6,0.0,0.0,2.6,0.0,2.6,2.6,0.0,3.9000000000000004,4.75,0.0,0.0,3.9000000000000004,0.0,1.3,3.9000000000000004,6.5,1.3,2.6,1.3,4.75,0.0,3.9000000000000004,1.3,3.9000000000000004,5.2,0.0,1.3,6.5,2.6,0.0,8.55,1.3,2.6,0.0,0.0,0.0,0.0,0.0,15.600000000000001,0.0,0.0,0.9500000000000001,0.0,0.0,0.0,9.1,0.0,3.9000000000000004,0.0,3.9000000000000004,3.9000000000000004,5.2,1.9000000000000001,1.3,3.9000000000000004,1.3,0.0,1.3,0.0,0.0,2.6,3.9000000000000004,0.0,12.35,1.3,0.0,0.0,5.2,0.0,9.1,5.2,0.0,2.6,0.0,0.9500000000000001,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
2,0.2,0.5,1.3,0.95,1.6,92.81110766537907,120.77345741187834,110.44524881699664,106.0260014123612,106.93844159826173,112.72050825688075,96.53608580395945,125.58590919845487,104.66293373973926,104.15413957025594,0.05,0.35,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.1,0.2,0.0,0.1,0.05,0.15,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,0.05,0.0,0.15,0.05,0.3,0.0,0.25,0.0,0.0,0.0,0.2,0.0,0.2,0.1,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.45,0.0,0.05,0.25,0.2,0.0,0.05,0.2,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.15,0.0,0.35,0.0,0.0,0.25,0.1,0.05,0.0,0.0,0.0,0.25,0.0,0.0,0.3,0.0,0.25,0.0,0.2,2.9191708715596327,9.80551991791405,1.9112699179140513,9.633404876871078,10.589039835828103,1.9112699179140513,2.866904876871077,0.0,0.9556349589570257,0.0,4.1324802993722844,15.518383944954127,0.0,5.237260598744568,6.055400000000001,0.0,5.237260598744568,1.5138500000000001,6.751110598744567,2.209560598744568,0.0,3.169715113471753,7.920850458715597,0.0,0.0,25.394515113471755,0.0,1.0565717044905847,3.169715113471753,5.282858522452923,5.109265210043458,6.1527804200869145,1.0435152100434573,6.783969036697248,1.35525,3.1305456301303725,5.109265210043458,4.485795630130372,12.305560840173829,0.0,7.90379128440367,5.24770642201835,2.09908256880734,0.0,10.909852293577984,1.04954128440367,7.5824825688073405,2.7417000000000002,6.85425,0.0,0.0,0.0,25.599030661516178,0.0,0.0,0.7533944954128442,0.0,11.904750000000002,0.0,8.539476219217768,6.168500000000001,7.924486141960407,0.0,4.223386141960406,7.924486141960407,3.9862481892805413,3.2596137614678904,0.9965620473201353,7.924486141960407,0.9965620473201353,0.0,1.0163978754225014,0.0,0.0,2.0327957508450027,3.049193626267504,0.0,28.437279816513758,1.0163978754225014,0.0,2.5779000000000005,7.938467576050218,0.0,16.147980758087883,4.071617576050218,0.0,8.48055878802511,2.5779000000000005,1.6857782110091741,2.035808788025109,0.0,0.0,7.871500000000001,0.0,0.0,9.4458,0.0,7.871500000000001,0.0,21.089873394495413
3,0.2,0.5,1.3,0.95,1.6,98.96102016258814,121.85062107581246,124.50976452200032,108.16445142338195,113.32377304524704,134.01487082785192,104.82571090958665,108.90881462660833,108.96486971715572,111.65562096145922,0.05,0.15,0.0,0.2,0.25,0.0,0.25,0.0,0.1,0.0,0.2,0.3,0.0,0.1,0.1,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.6,0.0,0.0,0.0,0.25,0.2,0.15,0.0,0.1,0.1,0.0,0.15,0.0,0.3,0.0,0.3,0.1,0.0,0.05,0.2,0.0,0.2,0.05,0.1,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.15,0.0,0.15,0.25,0.0,0.1,0.0,0.25,0.0,0.0,0.0,0.05,0.0,0.0,0.5,0.0,0.15,0.0,0.3,0.05,0.15,0.0,0.3,0.2,0.0,0.2,0.05,0.05,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.2,3.244565379233202,11.561054939844379,1.5465566802770363,12.627325528116032,14.607148267904478,1.5465566802770363,8.352557018665195,0.0,3.1863671394383744,0.0,9.575781443967692,19.258966107072588,0.0,7.316591553641306,7.969393205043974,0.0,8.886646499995724,1.2073208280837842,10.09396732807951,1.7618400047649005,0.0,2.5234840287799414,9.453906198402983,0.0,0.0,37.44795425624228,0.0,0.8411613429266471,2.5234840287799414,11.384747887738019,9.548696396032426,8.994507733379326,0.8241493557075938,7.37245145618026,3.827074359015408,2.472448067122781,8.17035837767173,3.542846389416798,17.98901546675865,0.0,14.574784058758459,6.918708549957342,1.655323627361015,1.3901997407774027,12.667515084797504,0.8276618136805075,11.540861630801455,3.5525692609428168,8.18632328196834,0.0,0.0,0.0,41.621724570325426,0.0,0.0,0.6210953865950535,0.0,9.816796831558397,0.0,15.832394866506329,7.382401681929078,10.025731276168608,0.0,7.102253205552929,12.535669507071553,3.150470891991043,4.409577772648827,0.7876177229977608,12.535669507071553,0.7876177229977608,0.0,0.899445638263274,1.6326168195799136,0.0,1.798891276526548,19.024505110588954,0.0,28.78225429297512,0.899445638263274,9.795700917479481,3.434791202667286,10.468722802346978,0.0,21.155629939114007,8.718081344887572,0.0,12.265709609803698,3.434791202667286,2.350597326796054,1.6378043952105656,0.0,0.0,16.57548727034633,0.0,0.0,17.72417862135427,0.0,5.74345675503971,0.0,19.25551516676215
4,0.2,0.5,1.3,0.95,1.6,103.25110586609912,126.2739609401211,130.5917220756507,110.12884238464726,119.61401370907365,149.24985565101144,112.81300132979123,108.25950760549094,115.1676641038179,119.48911113895716,0.05,0.2,0.0,0.15,0.35,0.0,0.2,0.0,0.05,0.0,0.15,0.3,0.0,0.15,0.1,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.1,0.0,0.0,0.55,0.0,0.1,0.0,0.25,0.2,0.15,0.0,0.05,0.1,0.0,0.15,0.0,0.35,0.0,0.25,0.1,0.0,0.05,0.2,0.0,0.2,0.05,0.15,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.15,0.15,0.0,0.15,0.2,0.0,0.1,0.0,0.25,0.0,0.0,0.0,0.05,0.0,0.0,0.55,0.0,0.1,0.0,0.3,0.05,0.2,0.0,0.3,0.15,0.0,0.25,0.0,0.05,0.0,0.0,0.0,0.25,0.0,0.0,0.3,0.0,0.25,0.0,0.2,3.5545857952688444,14.464173257469955,1.2458470359800713,14.036692475696938,20.778086633090503,1.2458470359800713,11.877231557169416,0.0,3.854411962001572,0.0,12.260685650433516,22.042082591802945,0.0,10.488293287770045,9.417817695820625,0.0,11.719503891213154,0.9468200852408201,12.666323976453974,1.380057688445497,0.0,2.0934739244972915,10.206126259485146,0.0,0.0,48.85797406805523,0.0,3.935078519071106,2.0934739244972915,17.535594356202832,13.153952226947183,11.31094538706533,0.6499051704686991,6.841177283566201,5.829957025726531,1.9497155114060973,10.66104021659663,2.79384851643152,24.028028642634624,0.0,19.07694367709714,8.505689057002565,1.3300614546975096,2.590267710129395,14.484693829714864,0.6650307273487548,15.165944886063269,4.327674005553484,10.997260208407223,0.0,0.0,0.0,52.94221639548341,0.0,0.0,0.5303124442384824,0.0,17.097417855527084,0.0,22.219936139104284,10.092838040470738,12.241520648443963,0.0,9.863818315301192,15.646052983360827,2.560468007744044,5.5776951506973775,0.640117001936011,17.00878722518545,0.640117001936011,0.0,0.6520874162744473,2.607985021692005,0.0,1.3041748325488947,29.451927055889293,0.0,22.927994139644262,0.6520874162744473,15.647910130152027,4.15210047588169,14.00398865756461,0.0,25.348593312183482,11.1932307088114,0.0,16.85158562805139,2.735557169558666,2.9072907483633132,1.304503505394913,0.0,0.0,20.64958073784386,0.0,0.0,23.028580800349452,0.0,11.895000312527976,0.0,19.80099231772158
5,0.2,0.5,1.3,0.95,1.6,109.3221831087192,129.67462945218404,136.51160135304153,115.80995351801863,126.07841506191534,161.21834539425916,119.19034051798425,110.39749145415922,121.26627591195177,128.48326100258367,0.05,0.2,0.0,0.2,0.35,0.0,0.15,0.0,0.05,0.0,0.15,0.3,0.0,0.15,0.1,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.05,0.0,0.0,0.6,0.0,0.1,0.0,0.25,0.2,0.15,0.0,0.05,0.1,0.0,0.15,0.0,0.35,0.0,0.3,0.1,0.0,0.05,0.2,0.0,0.2,0.0,0.15,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.3,0.0,0.25,0.15,0.15,0.0,0.15,0.2,0.0,0.1,0.0,0.25,0.0,0.0,0.0,0.15,0.0,0.0,0.45,0.0,0.05,0.0,0.35,0.05,0.15,0.0,0.35,0.15,0.0,0.25,0.0,0.05,0.0,0.0,0.0,0.25,0.0,0.0,0.3,0.0,0.25,0.0,0.2,3.8123927092715593,16.88966929382611,0.9926186358626519,16.549354945780543,25.94580828339833,0.9926186358626519,13.48735686995281,0.0,4.412411059124427,0.0,14.658236030262167,24.695188660200174,0.0,13.250812201677874,10.760056470344878,0.0,14.228329117947899,0.7517438988702323,14.980073016818132,1.095220007911513,0.0,1.671693170797401,9.390730692282247,0.0,0.0,59.38836804875784,0.0,6.537857567627317,1.671693170797401,22.491706183517756,16.079878758973983,13.197884878105771,0.5116346370788595,6.4314664344451655,7.451833719263087,1.5349039112365783,12.686250241026912,2.199480594605527,28.933975959418703,0.0,24.6128323697735,9.924065071006677,1.06553994775036,3.6301076008153887,16.14932002498698,0.53276997387518,18.369679690750658,3.4669800924668026,13.475053938189603,0.0,0.0,0.0,61.107522580994,0.0,0.0,0.4375890369274221,0.0,25.73441794597393,0.0,28.015872397107906,12.565092703355802,14.30278131408835,0.0,12.379176777842492,18.52386739753645,2.070462461286574,6.655641442003115,0.5176156153216435,21.092866927285417,0.5176156153216435,0.0,0.5074692911097465,6.25304580552589,0.0,1.014938582219493,35.59918710677277,0.0,18.868726025150423,0.5074692911097465,22.03716524557013,4.825750537082191,15.717877773049794,0.0,30.801035557457176,13.464590584166125,0.0,20.995083156302847,2.1929838841800975,3.424732549208346,1.0457247871787714,0.0,0.0,24.42250905354751,0.0,0.0,27.894446219540164,0.0,17.35968582996324,0.0,20.51195676597594
6,0.2,0.5,1.3,0.95,1.6,113.8838348207553,132.37254552131702,142.8021575243643,123.37785120336184,132.88531262411115,171.4208257830334,125.797582245075,114.01511796882903,129.14395843656172,138.64093874752922,0.05,0.15,0.0,0.2,0.35,0.0,0.15,0.0,0.1,0.0,0.15,0.3,0.0,0.15,0.1,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.05,0.0,0.0,0.6,0.0,0.1,0.0,0.25,0.2,0.15,0.0,0.05,0.1,0.0,0.15,0.0,0.35,0.0,0.25,0.1,0.0,0.1,0.2,0.0,0.2,0.0,0.15,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.3,0.0,0.25,0.15,0.15,0.0,0.15,0.2,0.0,0.1,0.0,0.25,0.0,0.0,0.0,0.15,0.0,0.0,0.4,0.0,0.05,0.0,0.4,0.05,0.15,0.0,0.35,0.15,0.0,0.25,0.0,0.05,0.0,0.0,0.0,0.25,0.0,0.0,0.3,0.0,0.25,0.0,0.2,4.096964065972265,17.813611374493057,0.7961847903222197,18.96168828925893,30.763637147637986,0.7961847903222197,15.083819186495532,0.0,6.3822443303045535,0.0,16.641382965869543,26.906093361801357,0.0,15.528602207932305,11.875389317008702,0.0,16.30126880017246,0.5942300071066835,16.89549880727914,0.8651048530861358,0.0,1.3323856256400655,8.782096996163341,0.0,0.0,68.63529889065761,0.0,8.760923683191791,1.3323856256400655,26.80183473767098,18.878605909740166,15.068823290167927,0.4090772550708467,6.242438329853613,8.969082801318496,1.2272317652125402,14.65974603509708,1.7585948172448675,33.672557730747236,0.0,27.896793658738517,11.22190498542242,0.8529268909234005,6.18381327486186,17.717934993498496,0.42646344546170023,21.260351136029193,2.775191224240886,15.703350264823907,0.0,0.0,0.0,68.4195004616983,0.0,0.0,0.3551254293008741,0.0,33.44085977157519,0.0,33.196875037329875,14.71838348715797,16.110938492920866,0.0,14.569304397143613,21.043310432491335,1.659203219857461,7.598567916895057,0.4148008049643653,24.651621126470708,0.4148008049643653,0.0,0.39991306864201764,9.231207892813568,0.0,0.7998261372840353,39.53312467190019,0.0,15.91646858030475,0.39991306864201764,28.845214672804715,5.437304733276837,17.30447532222929,0.0,35.67760470431151,15.501731794872082,0.0,24.67942917038568,1.754497415459605,3.891987482654094,0.8366314084714503,0.0,0.0,28.096763237372613,0.0,0.0,32.57379357032079,0.0,22.385151664740867,0.0,21.466077233201702
7,0.2,0.5,1.3,0.95,1.6,122.36441012194379,137.46694435718723,151.07133444645092,130.7711937402814,138.095650846912,180.09787791720225,132.6910961789831,120.48218005214908,134.1418669086588,147.04741340250052,0.05,0.15,0.0,0.25,0.35,0.0,0.15,0.0,0.05,0.0,0.2,0.3,0.0,0.15,0.05,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.05,0.0,0.0,0.55,0.0,0.15,0.0,0.25,0.2,0.2,0.0,0.05,0.1,0.0,0.15,0.0,0.3,0.0,0.3,0.1,0.0,0.05,0.2,0.0,0.2,0.0,0.15,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.3,0.0,0.25,0.15,0.15,0.0,0.15,0.2,0.0,0.1,0.0,0.25,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.05,0.0,0.35,0.05,0.15,0.0,0.35,0.15,0.0,0.25,0.0,0.05,0.0,0.0,0.0,0.25,0.0,0.0,0.3,0.0,0.25,0.0,0.2,4.342484020471009,18.6174900314449,0.6338399623898183,22.49224465447832,34.845329045658964,0.6338399623898183,16.445467225579602,0.0,6.559574402508438,0.0,19.997727357452614,28.74761943445722,0.0,17.39933839547035,11.07980310458799,0.0,18.00846538794542,0.4684800340230626,18.476945421968487,0.681416229490005,0.0,1.0623815055734573,8.359588096385473,0.0,0.0,75.15326388150206,0.0,12.555748469315624,1.0623815055734573,30.655056636403067,21.60757882479756,18.541651827225675,0.3291352693939589,6.1951102362418204,10.425464073540898,0.9874058081818767,16.60860449218801,1.4149212165036824,36.720219424027846,0.0,32.69537691207079,12.437730467928727,0.6827357127702522,6.6774177699755075,19.23217455423923,0.3413678563851261,23.928137553210433,2.221433029501577,17.7524544801547,0.0,0.0,0.0,75.07862514469514,0.0,0.0,0.28569336217369207,0.0,40.26143891165387,0.0,37.83782415414503,16.6958112760164,17.81123983604186,0.0,16.576348537762605,23.397543923447007,1.3289942737143488,8.47673278621436,0.3322485684285872,27.923221435853254,0.3322485684285872,0.0,0.31708889405799806,13.245061042925464,0.0,0.6341777881159961,43.19639422840473,0.0,13.701811795851603,0.31708889405799806,33.239665483222325,6.05391173113542,18.960222360457387,0.0,40.45921414635279,17.509638357321933,0.0,28.25216873384526,1.4117313940720793,4.358461344514633,0.6731082341955648,0.0,0.0,31.770829217890814,0.0,0.0,37.19939854445062,0.0,27.14284663279897,0.0,22.656574096615948
8,0.2,0.5,1.3,0.95,1.6,128.7048012478084,143.16994765713378,157.8219490629081,136.63055906278754,146.04672772117348,191.57561323448377,139.62302309102307,127.10196296326038,141.414817782959,156.25110674781283,0.05,0.2,0.0,0.2,0.35,0.0,0.15,0.0,0.05,0.0,0.15,0.3,0.0,0.15,0.1,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.15,0.0,0.3,0.2,0.15,0.0,0.05,0.1,0.0,0.15,0.0,0.35,0.0,0.3,0.1,0.0,0.05,0.2,0.0,0.2,0.0,0.15,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.3,0.0,0.25,0.15,0.15,0.0,0.15,0.2,0.0,0.1,0.0,0.25,0.0,0.0,0.0,0.2,0.0,0.0,0.45,0.0,0.05,0.0,0.3,0.05,0.15,0.0,0.35,0.15,0.0,0.25,0.0,0.05,0.0,0.0,0.0,0.25,0.0,0.0,0.3,0.0,0.25,0.0,0.2,4.671766360017525,21.409927343231416,0.5119029109896126,24.54142172233977,39.29737994018471,0.5119029109896126,18.063212575760435,0.0,6.892119737167843,0.0,21.253119935756764,30.680946602111458,0.0,19.18814631318785,12.379636089508502,0.0,19.672325529265283,0.37239049677011304,20.0447160260354,0.5414346265496678,0.0,0.8520552738172781,6.704160462300678,0.0,0.0,81.87273695208086,0.0,15.960821568477597,0.8520552738172781,36.36750201108646,24.144596716323946,19.983495266674126,0.26417082910206224,6.2149840488031955,11.768648507551454,0.7925124873061866,18.431836898607713,1.1356413594251682,41.3755732996032,0.0,36.75911582708326,13.476476058518486,0.5426640083829488,7.102720423204301,20.534170695568854,0.2713320041914744,26.200067448806536,1.76570143274006,19.496188604873502,0.0,0.0,0.0,81.07041664585725,0.0,0.0,0.22829076407763768,0.0,46.22298697458983,0.0,41.94464007671455,18.54453494133939,19.437723193096016,0.0,18.448842957484406,25.636085200653437,1.064191726829923,9.309072628460276,0.26604793170748076,30.985104804534743,0.26604793170748076,0.0,0.2541111854390018,16.88065324070623,0.0,0.5082223708780036,48.71586859397633,0.0,12.125388361446465,0.2541111854390018,36.03771892895982,6.554451467287495,20.297996734245984,0.0,44.35722759776801,19.145368916828513,0.0,31.1692920101228,1.121784690791315,4.737732851488023,0.5349327216444667,0.0,0.0,35.070764965569275,0.0,0.0,41.341561795031744,0.0,31.35398414731234,0.0,23.781614451150368
9,0.2,0.5,1.3,0.95,1.6,137.33546204493507,145.49225801563992,165.88901622896626,144.89785924209315,152.39912033935303,202.80365178328768,148.64269212852068,134.40002948557796,148.73633480848173,165.77788754704247,0.05,0.2,0.0,0.2,0.3,0.0,0.2,0.0,0.05,0.0,0.15,0.3,0.0,0.15,0.1,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.15,0.0,0.3,0.2,0.15,0.0,0.05,0.1,0.0,0.15,0.0,0.35,0.0,0.35,0.0,0.0,0.1,0.2,0.0,0.2,0.0,0.15,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.3,0.0,0.25,0.15,0.15,0.0,0.15,0.2,0.0,0.1,0.0,0.25,0.0,0.0,0.0,0.2,0.0,0.0,0.45,0.0,0.05,0.0,0.3,0.05,0.15,0.0,0.35,0.15,0.0,0.25,0.0,0.05,0.0,0.0,0.0,0.25,0.0,0.0,0.3,0.0,0.25,0.0,0.2,4.957737362390658,23.80964410607158,0.4092788596734188,26.31324246669832,41.45680169313071,0.4092788596734188,21.13400687263611,0.0,7.1833413708051586,0.0,22.493897347904166,32.5722989634402,0.0,20.85076882919109,13.572697243834863,0.0,21.236100618117895,0.29637037157927343,21.53247098969717,0.43076504422485506,0.0,0.6787931681179966,5.341462197231674,0.0,0.0,87.80240229335364,0.0,18.87234978842246,0.6787931681179966,41.28678563446433,26.343976787331833,21.25212354842311,0.2105257959440322,6.250462558390341,12.929998730051373,0.6315773878320966,20.015704187948675,0.905030919117153,45.40283662200987,0.0,42.75902943476239,10.803729041221354,0.435038144933328,9.491272536405392,22.011451608500423,0.217519072466664,28.59830027278657,1.4155061646682179,21.325363641302346,0.0,0.0,0.0,87.60572497284357,0.0,0.0,0.1836663021254111,0.0,52.11008738616795,0.0,46.18040512881403,20.274451752133427,20.988696602149755,0.0,20.19794221318213,27.760319000495617,0.8509930536128769,10.096849341300437,0.21274826340321923,33.85277168658304,0.21274826340321923,0.0,0.2034490208974088,20.125185732650316,0.0,0.4068980417948176,53.87587737731271,0.0,10.915598437600737,0.2034490208974088,38.76811004938595,7.084596560412583,21.761750765318485,0.0,48.37239783822587,20.839181221545232,0.0,34.139958035730984,0.8978807985143438,5.135535509068748,0.4281580160399246,0.0,0.0,38.34002772568992,0.0,0.0,45.41056463691084,0.0,35.35268455610459,0.0,25.049142610710128
