round,alpha,beta,give,keep,steal,p0,p1,p2,p3,p4,p0-T-p0,p0-T-p1,p0-T-p2,p0-T-p3,p0-T-p4,p1-T-p0,p1-T-p1,p1-T-p2,p1-T-p3,p1-T-p4,p2-T-p0,p2-T-p1,p2-T-p2,p2-T-p3,p2-T-p4,p3-T-p0,p3-T-p1,p3-T-p2,p3-T-p3,p3-T-p4,p4-T-p0,p4-T-p1,p4-T-p2,p4-T-p3,p4-T-p4,p0-I-p0,p0-I-p1,p0-I-p2,p0-I-p3,p0-I-p4,p1-I-p0,p1-I-p1,p1-I-p2,p1-I-p3,p1-I-p4,p2-I-p0,p2-I-p1,p2-I-p2,p2-I-p3,p2-I-p4,p3-I-p0,p3-I-p1,p3-I-p2,p3-I-p3,p3-I-p4,p4-I-p0,p4-I-p1,p4-I-p2,p4-I-p3,p4-I-p4
0,0.2,0.5,1.3,0.95,1.6,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0.2,0.5,1.3,0.95,1.6,99.0,99.0,99.0,99.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0
2,0.2,0.5,1.3,0.95,1.6,98.01000000000002,98.01000000000002,98.01000000000002,98.01000000000002,98.01000000000002,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,34.01,0.0,0.0,0.0,0.0,0.0,34.01,0.0,0.0,0.0,0.0,0.0,34.01,0.0,0.0,0.0,0.0,0.0,34.01,0.0,0.0,0.0,0.0,0.0,34.01
3,0.2,0.5,1.3,0.95,1.6,97.02990000000001,97.02990000000001,97.02990000000001,97.02990000000001,97.02990000000001,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,45.8299,0.0,0.0,0.0,0.0,0.0,45.8299,0.0,0.0,0.0,0.0,0.0,45.8299,0.0,0.0,0.0,0.0,0.0,45.8299,0.0,0.0,0.0,0.0,0.0,45.8299
4,0.2,0.5,1.3,0.95,1.6,96.05960100000001,96.05960100000001,96.05960100000001,96.05960100000001,96.05960100000001,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,55.09960100000001,0.0,0.0,0.0,0.0,0.0,55.09960100000001,0.0,0.0,0.0,0.0,0.0,55.09960100000001,0.0,0.0,0.0,0.0,0.0,55.09960100000001,0.0,0.0,0.0,0.0,0.0,55.09960100000001
5,0.2,0.5,1.3,0.95,1.6,95.09900499000003,95.09900499000003,95.09900499000003,95.09900499000003,95.09900499000003,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,62.33100499000001,0.0,0.0,0.0,0.0,0.0,62.33100499000001,0.0,0.0,0.0,0.0,0.0,62.33100499000001,0.0,0.0,0.0,0.0,0.0,62.33100499000001,0.0,0.0,0.0,0.0,0.0,62.33100499000001
6,0.2,0.5,1.3,0.95,1.6,94.14801494010003,94.14801494010003,94.14801494010003,94.14801494010003,94.14801494010003,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,67.93361494010001,0.0,0.0,0.0,0.0,0.0,67.93361494010001,0.0,0.0,0.0,0.0,0.0,67.93361494010001,0.0,0.0,0.0,0.0,0.0,67.93361494010001,0.0,0.0,0.0,0.0,0.0,67.93361494010001
7,0.2,0.5,1.3,0.95,1.6,93.20653479069902,93.20653479069902,93.20653479069902,93.20653479069902,93.20653479069902,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,72.23501479069901,0.0,0.0,0.0,0.0,0.0,72.23501479069901,0.0,0.0,0.0,0.0,0.0,72.23501479069901,0.0,0.0,0.0,0.0,0.0,72.23501479069901,0.0,0.0,0.0,0.0,0.0,72.23501479069901
8,0.2,0.5,1.3,0.95,1.6,92.27446944279204,92.27446944279204,92.27446944279204,92.27446944279204,92.27446944279204,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,75.49725344279203,0.0,0.0,0.0,0.0,0.0,75.49725344279203,0.0,0.0,0.0,0.0,0.0,75.49725344279203,0.0,0.0,0.0,0.0,0.0,75.49725344279203,0.0,0.0,0.0,0.0,0.0,75.49725344279203
9,0.2,0.5,1.3,0.95,1.6,91.35172474836412,91.35172474836412,91.35172474836412,91.35172474836412,91.35172474836412,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,77.9299519483641,0.0,0.0,0.0,0.0,0.0,77.9299519483641,0.0,0.0,0.0,0.0,0.0,77.9299519483641,0.0,0.0,0.0,0.0,0.0,77.9299519483641,0.0,0.0,0.0,0.0,0.0,77.9299519483641
